Metric,Noise Type,Seed,Value,Brightness,Gaussian Level
mAP@0.50,Poisson-Gaussian,4,0.1050799504,0.2,15.0
mAP@0.50,Poisson-Gaussian,0,0.0338773904,0.2,22.5
mAP@0.50,Poisson-Gaussian,1,0.0328801084,0.2,22.5
mAP@0.50,Poisson-Gaussian,2,0.0336959986,0.2,22.5
mAP@0.50,Poisson-Gaussian,3,0.0332928692,0.2,22.5
mAP@0.50,Poisson-Gaussian,4,0.0340757108,0.2,22.5
mAP@0.50,Poisson-Gaussian,0,0.2743934563,0.1,2.5
mAP@0.50,Poisson-Gaussian,1,0.2752500844,0.1,2.5
mAP@0.50,Poisson-Gaussian,2,0.2781653642,0.1,2.5
mAP@0.50,Poisson-Gaussian,3,0.2778176842,0.1,2.5
mAP@0.50,Poisson-Gaussian,4,0.2753895193,0.1,2.5
mAP@0.50,Poisson-Gaussian,0,0.1744265067,0.1,5.0
mAP@0.50,Poisson-Gaussian,1,0.1747429085,0.1,5.0
mAP@0.50,Poisson-Gaussian,2,0.1730737805,0.1,5.0
mAP@0.50,Poisson-Gaussian,3,0.1726502793,0.1,5.0
mAP@0.50,Poisson-Gaussian,4,0.1751489444,0.1,5.0
mAP@0.50,Poisson-Gaussian,0,0.0467470821,0.1,10.0
mAP@0.50,Poisson-Gaussian,1,0.0451241107,0.1,10.0
mAP@0.50,Poisson-Gaussian,2,0.0468050373,0.1,10.0
mAP@0.50,Poisson-Gaussian,3,0.044647736,0.1,10.0
mAP@0.50,Poisson-Gaussian,4,0.0463829482,0.1,10.0
mAP@0.50,Poisson-Gaussian,0,0.018355931,0.1,15.0
mAP@0.50,Poisson-Gaussian,1,0.0187930954,0.1,15.0
mAP@0.50,Poisson-Gaussian,2,0.0181661459,0.1,15.0
mAP@0.50,Poisson-Gaussian,3,0.0199518982,0.1,15.0
mAP@0.50,Poisson-Gaussian,4,0.0190060759,0.1,15.0
mAP@0.50,Poisson-Gaussian,0,0.0075701998,0.1,22.5
mAP@0.50,Poisson-Gaussian,1,0.0066946096,0.1,22.5
mAP@0.50,Poisson-Gaussian,2,0.0080109189,0.1,22.5
mAP@0.50,Poisson-Gaussian,3,0.0062779624,0.1,22.5
mAP@0.50,Poisson-Gaussian,4,0.0055328096,0.1,22.5
mAP@0.75,Poisson-Gaussian,0,0.3902188402,0.8,2.5
mAP@0.75,Poisson-Gaussian,1,0.3873902893,0.8,2.5
mAP@0.75,Poisson-Gaussian,2,0.387540612,0.8,2.5
mAP@0.75,Poisson-Gaussian,3,0.3889649164,0.8,2.5
mAP@0.75,Poisson-Gaussian,4,0.3862083665,0.8,2.5
mAP@0.75,Poisson-Gaussian,0,0.3804905249,0.8,5.0
mAP@0.75,Poisson-Gaussian,1,0.3846176069,0.8,5.0
mAP@0.75,Poisson-Gaussian,2,0.382197136,0.8,5.0
mAP@0.75,Poisson-Gaussian,3,0.3808338788,0.8,5.0
mAP@0.75,Poisson-Gaussian,4,0.3806151924,0.8,5.0
mAP@0.75,Poisson-Gaussian,0,0.3564438351,0.8,10.0
